7/Gooding, Ben (II)/Willis Jr., Charles
7/Grassom, Lilian/Geer, Ellen
7/Bridges, Rand/Bergman, Jeff (I)
7/Robinson, James Dale/Paris, Gerald
7/Davis, Vince (I)/Casson, Maxine
7/Rola, Vicente/Albertson, Frank (I)
7/Hartley, John (II)/Koval, Vladimir
7/Frank, Arnie (I)/Dubois, Richard
7/Kortes, Mary Lee/Quinn, Devon
7/Bell, Nicholas/Mina, Nika
7/Evans, Fred (II)/Schneider, Mark (I)
7/Caine, Stanley/Walesa, Lech
7/Bagdasarian Jr., Ross/Kitabayashi, Tanie
7/Woodell, Pat/Mitchell, Daryl
7/Soundy, Ian/Sedaris, Amy
7/Stewart, Marianne/Labr?che, Marc
7/Hammond, Roger/Luke, Keye
7/Longdon, Terence/Richards, Sandra Lee
7/Thompson, Marc (I)/Kelton, Pert
7/Burrafato, George/McKenzie, Sally
7/Godfrey, Tommy/Elliot, Shan
7/Asquith, Conrad/Harris, Robert H.
7/von Ledebur, Friedrich/Gordon, Claire
7/Gardner, Mitchell/Guthy, Alexandra
7/Silver, Johnny/Mackie, Jan
7/Jacobs, Rachel (I)/Hickox, Harry
7/Gee, Edward (I)/Woodburn, Eric
7/Dinehart III, Alan/Barsi, Judith
7/Scream, Billy/Lawes, George
7/Parker, Bret 'Brook'/Lohman, Al
7/Warner, Robert (I)/Ferguson, Myles
7/Prior, Diane/Rivero, Julian
7/Dorsey, Tony/Unwin, Stanley
7/Jimmerson, Jim/Liotta, Ray
7/Mackall, Steve/Adams, Trevor (I)
7/Garcia, Stella (I)/Mackenzie, Karina
7/Allemane, Beno?t/Coghlan Jr., Frank
7/Flack, Roberta/Smith, Cyril (I)
7/Carver, Peter/Margolin, Janet
7/Kurtzo Jr., Joseph John/Salisbury, Frances
7/Fankboner, Sarah/Martin, Kellie
7/Fitzgerald, Erin (II)/Roth, Mickey
7/Mishima, Ko/Giftos, Elaine
7/Darc, Katherine/Gunnarsson, Rutger
7/Berber, Ady/Jones, Gary (I)
7/Wright, Darrel W./Hoyt, Arthur
7/Steiger, Rod/Grace, Topher
7/Conway, Tim (I)/Herried, Matthew
7/Ford, James (I)/Ravel, Dianne
7/Stuart, Barbara/Knox, Mark (IV)
7/Milligan, Spike/Lee, Ruta
7/Morgan, Harry/Hay, Jaida
7/Jordan, Jim (I)/Green, Harry (I)
7/Hastings, Bob (I)/Baby (VII)
7/Kaoiu, Cher/Robinson, Joette
7/Boddey, Martin/Forquet, Philippe
7/Gjamarco, Namaria/Henry, Chuck (I)
7/McDonough, Tom (I)/Moore, Earl (I)
7/Christie, Edward G./Johnston, Peter (I)
7/Jerrae, Joan/De Sica, Vittorio
7/Innes, Edward/Fleming, Alice (II)
7/Hasagawa, James/Kito, Shinya
7/Harvey, Barry (I)/Schoeder, Noelle
7/Fitzgerald, Walter/Sottile, Annette
7/Fitzgerald, Dan (II)/Daly, James (I)
7/Neeson, Liam/Edmonds, Don (I)
7/Gostelow, Gordon/Olson, James
7/Fitzwiliam, Neil/Mattei, Giuseppe
7/Roland, Jeanne/Collins, Neil
7/Lynch, John (I)/Irwin, Charles (I)
7/Lhorca, Serge/Leipnitz, Harald
7/Loo, Richard/O'Brien, Kathy (I)
7/Sandack, Helen/O'Mara, Kate
7/Beencof, Stahu/Lemmon, Kathy
7/Drabin, Morris/Schiro, Nancy
7/Duncan, Archie/Joels, Merril E.
7/Bastianoni, Giancarlo/Brendel, Mike
7/Nickum, Charles/Lake, Arthur (I)
7/Sikking, James/Ray Bloch Orchestra, The
7/Morgan, Charles (III)/Reidy, Jamie (I)
7/Beach, Jim (III)/Handl, Irene
7/Haydn, Richard (I)/Henesy, Sharon
7/White, Yvonne (I)/Studi, Daniel
7/Tors, Steven/Crouzet, Roger
7/Gonz?lez, Fernando (II)/Sharpe, Albert (I)
7/Warwick, John (I)/Turner, Mell
7/Yarnell, Sally/Barrier, Ernestine
7/Leroy, Philippe (I)/Petersen, Julie
7/Valderrama, Wilmer/Thompson, Adam (III)
