CPU time to construct a MovieNet Database: 166 millisec
Bacon number of Walcutt, John : 2
Bacon number of Mertens, Tim : 3
Bacon number of Stewart, Marianne : 3
Bacon number of Smith, Jamie Ren?e : 3
Bacon number of Hughes, Mary (I) : 3
Bacon number of Jones, Vinia : -1
Bacon number of Ferguson, Bobbie : 4
Bacon number of Van Dam, Gwen : 4
Bacon number of Ferrer, Sam : 4
Bacon number of Oja, Patty : 4
Bacon number of Lockhart, Anne (I) : 2
Bacon number of Canne, Anthony : 4
Bacon number of Muller, Tom (I) : 5
Bacon number of Amsterdam, Morey : 3
Bacon number of Brown, Naaman : 3
Bacon number of Rodriguez, Charles : 3
Bacon number of Schenkel, Chris : 4
Bacon number of Nicastro, Michelle : 3
Bacon number of Caine, Stanley : 4
Bacon number of Church, Thomas Haden : 3
Bacon number of Kay, Billy (II) : -1
Bacon number of Bell, Lauren : 3
Bacon number of Maillot, Michel : 4
Bacon number of Miller, Robert (I) : 4
Bacon number of Sonoko, Konishi : 2
Bacon number of Dilworth, Gordon : 4
Bacon number of Pryce, Jonathan : 3
Bacon number of Candelario, Chris : 4
Bacon number of Van Hook, Lamonte : 3
Bacon number of Ward, Bobbie : 3
Bacon number of Miller, Lenore : 3
Bacon number of Hampton, James (I) : 3
Bacon number of Winterhawk, Nik : 4
Bacon number of Perkins, Gil (I) : 3
Bacon number of Connor, Kenneth (I) : 3
Bacon number of Mackleprang, William : 4
Bacon number of Spinelli, Lary : 3
Bacon number of Gould, Ina : 3
Bacon number of Stone, Andrew (IV) : 3
Bacon number of Carmen, Jean : 4
Bacon number of Takashima, Tadao : 5
Bacon number of Mattox, Matt : 3
Bacon number of Feld, Eliot : 3
Bacon number of Brown, Alfred (I) : 4
Bacon number of Anderson, Nicola : 3
Bacon number of O'Shea, Aidan : 3
Bacon number of Dieudonn?, Albert : -1
Bacon number of Rossouw, Andries : -1
Bacon number of Goldoni, Lelia : 4
Bacon number of Russell, George (I) : 3
Bacon number of Fuller, Loie : 3
Bacon number of Feld, Fritz : 3
Bacon number of Gaynor, Joey : 3
Bacon number of Coleman II, Edwin L. : -1
Bacon number of Masamune, Tohoru : 2
Bacon number of Lee, Larry (II) : -1
Bacon number of Carson, John (I) : 4
Bacon number of Donath, Ludwig : 4
Bacon number of Woods, Richard (II) : 4
Bacon number of Casciani, David : 5
Bacon number of Romulus : 3
Bacon number of Margolin, Janet : 3
Bacon number of Popeck : 4
Bacon number of Hingle, Pat : 3
Bacon number of Manning, Rob (IV) : 3
Bacon number of Beckley, William : 3
Bacon number of Bjorlin, Kamilla : 3
Bacon number of Francis, Douglas : 3
Bacon number of Ashkenazy, Irvin : 4
Bacon number of Wald, George : 4
Bacon number of Shelley, Joshua (I) : 4
Bacon number of Bergen, Avril : 3
Bacon number of Keith, Patty : 4
Bacon number of Seki, Hiroko : 3
Bacon number of Bender, Richard : 3
Bacon number of Wilder, Glenn R. : 3
Bacon number of Grant, Kim : 3
Bacon number of Ameer, Rafi : 4
Bacon number of Corrie, Eric : 4
Bacon number of Kanai, Shinji : 4
Bacon number of Widom, Bud : 4
Bacon number of Miftahova, Alfiya : -1
Bacon number of Weaver, Malcolm : 3
Bacon number of Sellers, Peter : 3
Bacon number of Gilbert, Lou : 4
Bacon number of Clarin, Hans : 5
Bacon number of Christopher, William : 3
Bacon number of Kuochi, Roy : 3
Bacon number of Tanner, Kenneth W. : 4
Bacon number of Garber, Victor : 5
