CPU time to construct a MovieNet Database: 163 millisec
Collaboration distance between Haddrick, Roy/Broadhurst, Spence : -1
Collaboration distance between Houvouras, Anghus/Lackey, Brad : -1
Collaboration distance between Levitt, John/Glaser, Paul Michael : 2
Collaboration distance between Rojas III, Rafael/Levinson, Charlotte : 3
Collaboration distance between Montgomery, Pricilla/Chadwick, Robin : 3
Collaboration distance between Deal, Bill (II)/Henry, Michael Tyler : 6
Collaboration distance between Barr, Karen/Carsten, Peter : 4
Collaboration distance between Ruscio, Al/Tajima, Reiko : 4
Collaboration distance between Magwood, Robbie/Monk, Roland : 3
Collaboration distance between Blake, Julia (I)/Urquhart, Molly : 4
Collaboration distance between Stanley, Ralph (I)/Sui, Kam Wong : -1
Collaboration distance between No?, Giorgio/Carol, Martine : 3
Collaboration distance between Dukelow, Peter/Medford, Kay : 2
Collaboration distance between Kavanagh, Michael C./von Friedl, Loni : 4
Collaboration distance between Brown, Clancy/Donner, Jack : 2
Collaboration distance between Morgan, John (I)/Erwin, Bill : 1
Collaboration distance between Wellman, James/Lilly, Alan : 3
Collaboration distance between Sabe, Jimmy/Bonucci, Alberto : 4
Collaboration distance between Pimentel, Heleen/Porterfield, Robert : 4
Collaboration distance between Moore, Carl (I)/Granger, Marc : 3
Collaboration distance between Bridgeman, Julia/January, Lois : 4
Collaboration distance between Whitney, Bob/Blackwell, Emma : 3
Collaboration distance between Timoushin, Alec/Easton, Robert (I) : 3
Collaboration distance between Castle, Nick (I)/Webb, David (I) : -1
Collaboration distance between Hiraga, Yoshio/Easton, Sheena : 3
Collaboration distance between Hannon, Betty/Horvath, Jan : 3
Collaboration distance between Hillier, Steven/Mobley, Roger : 2
Collaboration distance between MacIntyre, Gandhi/Schultz, Joel : 3
Collaboration distance between Waring, Joseph/Tobin, John H. : -1
Collaboration distance between Dalton, Patti/Whittingham, Eve : 2
Collaboration distance between Walia, Sandeep/Horn, Beverley : 4
Collaboration distance between N?methy, Attila/Stratford, Caroline : 3
Collaboration distance between Hudd, Roy/Manon, Gloria : 4
Collaboration distance between Whisenhunt, Larry/Rey, Fernando (I) : 4
Collaboration distance between Medford, Kay/Silvestri, Ellen : -1
Collaboration distance between Primosig, Jesse/Mulholland, Gordon : 4
Collaboration distance between Bisacco, Roberto/Funari, Augusto : 4
Collaboration distance between Hillenburg, Andy/Clarke, Robert (I) : 4
Collaboration distance between Margetts, Monty/Chang, Guifa : -1
Collaboration distance between Prout, Jennifer/Loncar, Beba : -1
Collaboration distance between Leonard, Peggy/Hamilton, Murray (I) : 3
Collaboration distance between Benoit, Mary/Gray, Elspet : 4
Collaboration distance between Hunter, Julie (I)/Tamura, Fumi : 3
Collaboration distance between Montalb?n, Carlos/Murakami, Fuyuki : 3
Collaboration distance between Michaelevski, Cliff/Thornton, Cyril : 4
