CPU time to construct a MovieNet Database: 163 millisec
Eccentricity of Walcutt, John : 5
Eccentricity of Mertens, Tim : 6
Eccentricity of Stewart, Marianne : 5
Eccentricity of Smith, Jamie Ren?e : 6
Eccentricity of Hughes, Mary (I) : 6
Eccentricity of Jones, Vinia : 1
Eccentricity of Ferguson, Bobbie : 6
Eccentricity of Van Dam, Gwen : 6
Eccentricity of Ferrer, Sam : 6
Eccentricity of Oja, Patty : 7
Eccentricity of Lockhart, Anne (I) : 5
Eccentricity of Canne, Anthony : 6
Eccentricity of Muller, Tom (I) : 7
Eccentricity of Amsterdam, Morey : 6
Eccentricity of Brown, Naaman : 6
Eccentricity of Rodriguez, Charles : 6
Eccentricity of Schenkel, Chris : 6
Eccentricity of Nicastro, Michelle : 6
Eccentricity of Caine, Stanley : 6
Eccentricity of Church, Thomas Haden : 6
Eccentricity of Kay, Billy (II) : 2
Eccentricity of Bell, Lauren : 6
Eccentricity of Maillot, Michel : 7
Eccentricity of Miller, Robert (I) : 6
Eccentricity of Sonoko, Konishi : 6
Eccentricity of Dilworth, Gordon : 7
Eccentricity of Pryce, Jonathan : 6
Eccentricity of Candelario, Chris : 6
Eccentricity of Van Hook, Lamonte : 6
Eccentricity of Ward, Bobbie : 7
Eccentricity of Miller, Lenore : 6
Eccentricity of Hampton, James (I) : 6
Eccentricity of Winterhawk, Nik : 6
Eccentricity of Perkins, Gil (I) : 5
Eccentricity of Connor, Kenneth (I) : 6
Eccentricity of Mackleprang, William : 6
Eccentricity of Spinelli, Lary : 6
Eccentricity of Gould, Ina : 6
Eccentricity of Stone, Andrew (IV) : 6
Eccentricity of Carmen, Jean : 6
Eccentricity of Takashima, Tadao : 7
Eccentricity of Mattox, Matt : 5
Eccentricity of Feld, Eliot : 5
Eccentricity of Brown, Alfred (I) : 7
Eccentricity of Anderson, Nicola : 6
Eccentricity of O'Shea, Aidan : 6
Eccentricity of Dieudonn?, Albert : 1
Eccentricity of Rossouw, Andries : 1
Eccentricity of Goldoni, Lelia : 6
Eccentricity of Russell, George (I) : 6
Eccentricity of Fuller, Loie : 5
Eccentricity of Feld, Fritz : 5
Eccentricity of Gaynor, Joey : 6
Eccentricity of Coleman II, Edwin L. : 1
Eccentricity of Masamune, Tohoru : 6
Eccentricity of Lee, Larry (II) : 1
Eccentricity of Carson, John (I) : 7
Eccentricity of Donath, Ludwig : 6
Eccentricity of Woods, Richard (II) : 7
Eccentricity of Casciani, David : 7
Eccentricity of Romulus : 6
Eccentricity of Margolin, Janet : 6
Eccentricity of Popeck : 6
