CPU time to construct a MovieNet Database: 163 millisec
Closeness of Walcutt, John : 2476.5
Closeness of Mertens, Tim : 2112.5469
Closeness of Stewart, Marianne : 2290.8125
Closeness of Smith, Jamie Ren?e : 1272.2812
Closeness of Hughes, Mary (I) : 2412.4375
Closeness of Jones, Vinia : 10.5
Closeness of Ferguson, Bobbie : 1783.75
Closeness of Van Dam, Gwen : 1825.3281
Closeness of Ferrer, Sam : 1273.8125
Closeness of Oja, Patty : 1218.7656
Closeness of Lockhart, Anne (I) : 2623.8125
Closeness of Canne, Anthony : 1668.2344
Closeness of Muller, Tom (I) : 654.1797
Closeness of Amsterdam, Morey : 2074.7188
Closeness of Brown, Naaman : 2910.2344
Closeness of Rodriguez, Charles : 1999.9844
Closeness of Schenkel, Chris : 1610.2031
Closeness of Nicastro, Michelle : 1873.5
Closeness of Caine, Stanley : 2060.5312
Closeness of Church, Thomas Haden : 1841.3594
Closeness of Kay, Billy (II) : 22.75
Closeness of Bell, Lauren : 2045.1562
Closeness of Maillot, Michel : 1135.0156
Closeness of Miller, Robert (I) : 1801.8281
Closeness of Sonoko, Konishi : 2182.7344
Closeness of Dilworth, Gordon : 1645.75
Closeness of Pryce, Jonathan : 2253.9375
Closeness of Candelario, Chris : 1946.6875
Closeness of Van Hook, Lamonte : 2112.5469
Closeness of Ward, Bobbie : 1328.7656
Closeness of Miller, Lenore : 2626.375
Closeness of Hampton, James (I) : 2521.4375
Closeness of Winterhawk, Nik : 1533.4375
Closeness of Perkins, Gil (I) : 3145.125
Closeness of Connor, Kenneth (I) : 1837.4062
Closeness of Mackleprang, William : 1456.1719
Closeness of Spinelli, Lary : 1921.5781
Closeness of Gould, Ina : 2668.5469
Closeness of Stone, Andrew (IV) : 1891.7031
Closeness of Carmen, Jean : 1976.9219
Closeness of Takashima, Tadao : 1284.9844
Closeness of Mattox, Matt : 3148.625
Closeness of Feld, Eliot : 2782.9375
Closeness of Brown, Alfred (I) : 1201.3125
Closeness of Anderson, Nicola : 1891.7031
Closeness of O'Shea, Aidan : 1544.2812
Closeness of Dieudonn?, Albert : 30.0
Closeness of Rossouw, Andries : 3.5
Closeness of Goldoni, Lelia : 2060.5312
Closeness of Russell, George (I) : 3300.3438
Closeness of Fuller, Loie : 2782.9375
Closeness of Feld, Fritz : 3428.7188
Closeness of Gaynor, Joey : 1720.4688
Closeness of Coleman II, Edwin L. : 30.5
Closeness of Masamune, Tohoru : 2367.2812
Closeness of Lee, Larry (II) : 8.5
Closeness of Carson, John (I) : 1430.9844
Closeness of Donath, Ludwig : 2209.5781
Closeness of Woods, Richard (II) : 1374.3594
Closeness of Casciani, David : 883.3672
